Afrikaans (South Africa),Standard,af-ZA,af-ZA-Standard-A,FEMALE,Your browser doesn't support the audio element.
Arabic,Standard,ar-XA,ar-XA-Standard-A,FEMALE,Your browser doesn't support the audio element.
Arabic,Standard,ar-XA,ar-XA-Standard-B,MALE,Your browser doesn't support the audio element.
Arabic,Standard,ar-XA,ar-XA-Standard-C,MALE,Your browser doesn't support the audio element.
Arabic,Standard,ar-XA,ar-XA-Standard-D,FEMALE,Your browser doesn't support the audio element.
Arabic,Premium,ar-XA,ar-XA-Wavenet-A,FEMALE,Your browser doesn't support the audio element.
Arabic,Premium,ar-XA,ar-XA-Wavenet-B,MALE,Your browser doesn't support the audio element.
Arabic,Premium,ar-XA,ar-XA-Wavenet-C,MALE,Your browser doesn't support the audio element.
Arabic,Premium,ar-XA,ar-XA-Wavenet-D,FEMALE,Your browser doesn't support the audio element.
Basque (Spain),Standard,eu-ES,eu-ES-Standard-A,FEMALE,Your browser doesn't support the audio element.
Basque (Spain),Standard,eu-ES,eu-ES-Standard-B,FEMALE,Your browser doesn't support the audio element.
Bengali (India),Standard,bn-IN,bn-IN-Standard-A,FEMALE,Your browser doesn't support the audio element.
Bengali (India),Standard,bn-IN,bn-IN-Standard-B,MALE,Your browser doesn't support the audio element.
Bengali (India),Standard,bn-IN,bn-IN-Standard-C,FEMALE,Your browser doesn't support the audio element.
Bengali (India),Standard,bn-IN,bn-IN-Standard-D,MALE,Your browser doesn't support the audio element.
Bengali (India),Premium,bn-IN,bn-IN-Wavenet-A,FEMALE,Your browser doesn't support the audio element.
Bengali (India),Premium,bn-IN,bn-IN-Wavenet-B,MALE,Your browser doesn't support the audio element.
Bengali (India),Premium,bn-IN,bn-IN-Wavenet-C,FEMALE,Your browser doesn't support the audio element.
Bengali (India),Premium,bn-IN,bn-IN-Wavenet-D,MALE,Your browser doesn't support the audio element.
Bulgarian (Bulgaria),Standard,bg-BG,bg-BG-Standard-A,FEMALE,Your browser doesn't support the audio element.
Bulgarian (Bulgaria),Standard,bg-BG,bg-BG-Standard-B,FEMALE,Your browser doesn't support the audio element.
Catalan (Spain),Standard,ca-ES,ca-ES-Standard-A,FEMALE,Your browser doesn't support the audio element.
Catalan (Spain),Standard,ca-ES,ca-ES-Standard-B,FEMALE,Your browser doesn't support the audio element.
Chinese (Hong Kong),Standard,yue-HK,yue-HK-Standard-A,FEMALE,Your browser doesn't support the audio element.
Chinese (Hong Kong),Standard,yue-HK,yue-HK-Standard-B,MALE,Your browser doesn't support the audio element.
